cell_id,x,y,x_self_polarity,y_self_polarity,a,s,rac,f,f_x,f_y,fpp,f_coef,p_frac
12,120.41304347826087,101.0,0.9749728657646494,-0.22232388765642572,1.0,3.5511276717463476,45.51127669054617,93.9431241690418,-91.59199698997497,20.8858005838517,20,0.6262874944602786,0.008
13,142.18,102.18,0.9439035072885888,-0.33022139380770127,1.0,3.1065312136915,41.06531213687667,78.93902083649955,-74.51081862949893,26.067353486444055,20,0.526260138909997,0.008
14,149.61904761904762,88.61904761904762,0.9999914361810939,0.004138546178681955,1.0,4.079401646436881,50.794016464954645,108.33589069238504,-108.33496292343611,-0.4483530864390761,20,0.7222392712825669,0.008
15,148.61363636363637,103.81818181818181,0.8542258052126726,-0.5199021770571471,1.0,3.628525467444293,46.28525070672942,96.29035583474955,-82.2537067471537,50.06156562809366,20,0.641935705564997,0.008
16,153.0952380952381,98.45238095238095,0.07107300368592054,0.9974711164475195,1.0,4.0721603865617295,50.721603861700515,108.16395561155447,-7.687537215863756,-107.89042156323718,20,0.7210930374103631,0.008
17,158.92307692307693,111.28846153846153,0.9935812730974588,-0.11312052753604397,1.0,3.551979231811091,45.519789946055674,93.96938797146984,-93.36622413288204,10.629866739571854,20,0.6264625864764656,0.008
18,91.22222222222223,87.0,-0.9997246856778784,0.02346386256069476,1.0,4.0399522669336285,50.39952266922011,107.3909426241962,107.36137635962562,-2.5198063179975962,20,0.7159396174946413,0.008
19,97.74468085106383,91.19148936170212,0.2629324678408728,-0.9648142398177529,1.0,3.956140854641154,49.56140875039773,105.3154431554608,-27.690849370620466,101.60983922910569,20,0.7021029543697387,0.008
20,109.18,100.16,0.32209283532809924,-0.94670808881635,1.0,3.670339039582798,46.70339029957382,97.52422661182192,-31.41185466258179,92.32697418897055,20,0.6501615107454795,0.008
21,119.23684210526316,105.26315789473684,-0.8772011595779955,-0.4801230317689623,1.0,3.004190104040057,40.041901042520145,75.15704643903341,65.92784828677736,36.08462899510941,20,0.5010469762602228,0.008
22,128.3,102.44,0.9497914736307297,0.3128836151324755,1.0,3.18523373596328,41.85233735863478,81.77173664804464,-77.66609825229025,-25.58503657810094,20,0.5451449109869643,0.008
23,133.19565217391303,105.32608695652173,0.9383403789309858,-0.3457127901418374,1.0,2.650712961088398,36.507129610805656,61.44477650872496,-57.656114872526715,21.242245126472934,20,0.4096318433914998,0.008
24,140.59615384615384,107.6923076923077,0.7569923017469341,-0.6534237944059573,1.0,2.6137855636943628,36.13785563700714,59.97520079462118,-45.400765297254836,39.18922327348056,20,0.3998346719641412,0.008
25,152.64705882352942,109.11764705882354,0.8380714588080943,0.5455604732119737,1.0,3.4214897353553075,44.21489735304142,89.82943006928924,-75.28348150206892,-49.00738637696333,20,0.5988628671285949,0.008
26,175.54347826086956,103.91304347826087,0.2813371932161854,-0.9596089743813565,1.0,4.110034247759098,51.1003417873912,109.05572298917906,-30.68143100993746,104.65085048806344,20,0.7270381532611937,0.008
27,183.3265306122449,106.51020408163265,-0.9645254468422191,0.26398989070382517,1.0,4.1174522010444745,51.174522010455874,109.2282220480348,105.35339967866189,-28.835146400233853,20,0.7281881469868986,0.008
28,153.9512195121951,82.1219512195122,-0.9997115234446871,-0.024018115910762385,1.0,4.117934631070723,51.179346310685794,109.23941606442007,109.2079030539694,2.6237249570592396,20,0.7282627737628005,0.008
29,90.19565217391305,92.73913043478261,0.8367587183519706,-0.5475717736169092,1.0,3.9911863992688628,49.911863992726694,106.19462916412526,-88.85928179523624,58.14918143999002,20,0.7079641944275017,0.008
30,100.66666666666667,104.53846153846153,0.514103767499146,-0.8577279966534753,1.0,3.7742136246313054,47.74213626401832,100.48522708443002,-51.6598338221127,86.1889925203977,20,0.6699015138962001,0.008
31,106.20454545454545,108.61363636363636,0.2763116692069169,-0.9610680836757026,1.0,3.1379307241892334,41.37930724564875,80.0774431579882,-22.126331984805727,76.95987484149772,20,0.5338496210532546,0.008
32,112.04347826086956,107.8695652173913,0.9806000246849507,0.19601936533892278,1.0,2.9016508424745635,39.016508424778294,71.26889189583522,-69.8862771523251,-13.970082957829918,20,0.47512594597223484,0.008
33,118.0,112.0,-0.10246020238525182,-0.9947371044286893,1.0,2.4362523116456516,34.36252302741219,52.889258670135824,5.419044147348051,52.61090802491086,20,0.3525950578009055,0.008
34,125.30357142857143,109.83928571428571,0.2122798733437994,-0.9772089108134148,1.0,2.42701598025621,34.27015984054924,52.52120698031777,-11.149195165645331,51.32419146784225,20,0.35014137986878513,0.008
35,134.22413793103448,112.3103448275862,0.7329748087283072,-0.680255782606588,1.0,2.171570700107575,31.71570699994764,42.491385196166235,-31.14511493676077,28.90501049065605,20,0.2832759013077749,0.008
36,142.5531914893617,114.02127659574468,-0.5352402612826466,-0.8446998654564142,1.0,2.252669841059993,32.526698410612354,45.63330304964662,24.424781047483048,38.546444946368275,20,0.30422202033097745,0.008
37,149.70833333333334,113.97916666666667,-0.4417786822340537,0.8971240694148959,1.0,2.610362800172081,36.103628001703115,59.838818655487664,26.43551445206385,-53.68284450119108,20,0.3989254577032511,0.008
38,170.52830188679246,110.66037735849056,0.9973567339215207,-0.07266047963918804,1.0,4.072846213891551,50.728462138967004,108.18026894349167,-107.89431970823257,7.860430228930462,20,0.7212017929566111,0.008
39,171.7659574468085,119.63829787234043,0.8591577125634728,-0.5117108802270094,1.0,4.026604820485049,50.26604820492757,107.06661971873082,-91.98711208944799,54.78715421920223,20,0.7137774647915388,0.008
40,166.06666666666666,128.17777777777778,-0.0018160647093424093,0.9999983509531261,1.0,3.5826748403071904,45.82674857446665,94.90976030339243,0.1723622662591381,-94.9096037927489,20,0.6327317353559495,0.008
41,94.73469387755102,97.57142857142857,-0.027284706725002057,-0.9996277030869696,1.0,3.9488563327432895,49.488563327462494,105.13063901548725,2.8684586533496286,105.09149920311687,20,0.700870926769915,0.008
42,105.3157894736842,127.63157894736842,0.5405648996338855,0.8413023174125976,1.0,3.0272235014645887,40.27223501456743,76.01736058516616,-41.09231689515323,-63.95358162388935,20,0.5067824039011077,0.008
43,103.56666666666666,115.28333333333333,0.9930416422048882,0.1177637331567698,1.0,3.1017721971621777,41.017721971665374,78.76554554244044,-78.21746669462897,-9.275724687207354,20,0.5251036369496029,0.008
44,112.8125,115.625,-0.7996378873730187,-0.6004825135485758,1.0,2.4123970709303255,34.123970920825755,51.93907986209829,41.532456093026774,31.188509226993,20,0.3462605324139886,0.008
45,119.71739130434783,119.5,-0.9945466285304414,0.10429287453480376,1.0,2.009130104123012,30.09130104139546,36.38736004996189,36.18892625881287,-3.7949423763434065,20,0.2425824003330793,0.008
46,125.0576923076923,116.13461538461539,-0.8710170900550425,0.4912527138164697,1.0,2.0337637816090397,30.337637816100088,37.29368731446551,32.4834390020684,-18.32062510145403,20,0.2486245820964367,0.008
47,132.95652173913044,118.06521739130434,-0.6134733692159638,-0.7897154077658696,1.0,1.903847279711273,29.038472797121656,32.606205615930385,20.003038816553296,25.74962296368225,20,0.21737470410620255,0.008
48,142.6122448979592,119.10204081632654,-0.08781635704300675,-0.9961366811013914,1.0,2.034633793354756,30.346337836386457,37.32583529666836,3.277818879340692,37.18163369176039,20,0.24883890197778907,0.008
49,152.3695652173913,119.6086956521739,0.14497712913201696,0.9894350064701766,1.0,2.4230765787406994,34.23076579027872,52.36428718867351,-7.591624025658341,-51.81105883333136,20,0.34909524792449004,0.008
50,161.35714285714286,116.0952380952381,0.7276922508844937,0.685903774594264,1.0,3.264955255551872,42.64955255550923,84.5681772817531,-61.53960727935782,-58.005632008111334,20,0.5637878485450206,0.008
51,155.84782608695653,131.3913043478261,0.06410259147670459,0.9979433139041369,1.0,2.540780897241,35.40780897238649,57.06221017512041,-3.6578355476135997,-56.944851120854025,20,0.38041473450080276,0.008
52,165.2173913043478,120.28260869565217,-0.021522510044567095,0.9997683639530616,1.0,3.485097786315814,44.850977606814894,91.87609054335269,1.9774040815748641,-91.85480872893108,20,0.612507270289018,0.008
53,175.23809523809524,130.02380952380952,0.1368891884909629,0.990586366792056,1.0,4.100839741230903,51.00838977389517,108.8409162390525,-14.899144698576764,-107.8163277755615,20,0.72560610826035,0.008
54,98.1063829787234,115.1063829787234,0.6081536816816401,0.7938193115924217,1.0,3.8039194916557832,48.039194916653564,101.30472784168903,-61.60884320867973,-80.41764931634722,20,0.6753648522779269,0.008
55,92.71739130434783,124.34782608695652,0.94616776414131,-0.3236766319953207,1.0,4.110871675927371,51.108716759247784,109.07523354849467,-103.2034698497704,35.30510422907977,20,0.7271682236566311,0.008
56,96.47619047619048,132.45238095238096,-0.2870788758949238,0.9579069469499149,1.0,3.9011472173034716,49.011472173082524,103.90267656156136,29.828263589766884,-99.52909568500972,20,0.6926845104104091,0.008
57,109.63461538461539,120.48076923076923,-0.7053827768100019,0.7088265924609566,1.0,2.4405329317547713,34.40533011380207,53.05989902816039,37.4275389137421,-37.61026742445335,20,0.3537326601877359,0.008
58,117.28846153846153,124.53846153846153,0.8122864789980578,0.5832586699200771,1.0,1.9699229856530682,29.69922985653673,34.961125729917036,-28.398449720962713,-20.391379692139996,20,0.23307417153278023,0.008
59,126.73469387755102,123.93877551020408,-0.9702043393787902,-0.24228813394503063,1.0,1.7673288295081948,27.673288295091414,27.95833104127358,27.12529409803236,6.773971856207601,20,0.18638887360849055,0.008
60,134.18,123.82,-0.21481197870641153,-0.9766554222468824,1.0,1.7622873830605676,27.622873542709602,27.79279724173378,5.97022576928293,27.143986125547492,20,0.18528531494489187,0.008
61,141.46153846153845,125.11538461538461,-0.5716116335003965,0.8205243082608877,1.0,1.8637536679937277,28.637536427644722,31.20936071391504,17.839633658184074,-25.608039111049663,20,0.2080624047594336,0.008
62,149.79591836734693,125.04081632653062,-0.40624356134344786,0.9137648323649757,1.0,2.170437836545913,31.704378365428965,42.44787820241914,17.24417721242366,-38.787378309882435,20,0.28298585468279425,0.008
63,151.1086956521739,134.3913043478261,0.6220925323170561,0.7829437280132925,1.0,2.264117875971189,32.64117875967011,46.08073787222356,-28.666482913970025,-36.07862469928203,20,0.30720491914815706,0.008
64,160.875,129.5,-0.7530407639990072,-0.6579738655568256,1.0,2.9444779420175182,39.44477942016938,72.90388356655947,54.89959617945661,47.968850084393864,20,0.4860258904437298,0.008
65,158.0204081632653,122.63265306122449,-0.9996433190212807,-0.026706454952275097,1.0,2.7126989051674393,37.126989051661646,63.901794504860604,63.87900195025469,1.7065903963136,20,0.4260119633657374,0.008
66,203.3684210526316,116.44736842105263,0.9105396358187255,-0.41342178414193753,1.0,4.122903576269024,51.22903595077022,109.35453948786603,-99.57164256040598,45.209548819093534,20,0.7290302632524402,0.008
