cell_id,x,y,x_self_polarity,y_self_polarity,a,s,rac,f,f_x,f_y,fpp,f_coef,p_frac
30,99.22916666666667,112.3125,0.9999998296076347,0.0005837676776437996,1.0,0.0,10.0,1.1673151750972763,-1.1673149761956825,-0.0006814408688449023,20,0.0038910505836575876,0.008
31,105.0,111.375,-0.8336803111388474,-0.5522473529311249,1.0,0.0,10.0,1.1673151750972763,0.9731676783721955,0.6446467154838035,20,0.0038910505836575876,0.008
32,112.46666666666667,113.93333333333334,-0.9204549039186083,-0.39084878131086126,1.0,0.0,10.0,1.1673151750972763,1.074460977336897,0.4562437135924451,20,0.0038910505836575876,0.008
33,119.28888888888889,114.31111111111112,-0.9844795834204281,-0.17549914480800252,1.0,0.0,10.0,1.1673151750972763,1.1491979573001108,0.20486281495097572,20,0.0038910505836575876,0.008
34,125.45652173913044,110.3695652173913,-0.26952837555706194,0.9629924479296665,1.0,0.0,10.0,1.1673151750972763,0.3146245629070762,-1.1241156979723734,20,0.0038910505836575876,0.008
35,130.97674418604652,111.97674418604652,0.19183146112193777,0.981427883506385,1.0,0.0,10.0,1.1673151750972763,-0.22392777562872115,-1.1456356616806052,20,0.0038910505836575876,0.008
36,137.85416666666666,112.5625,-0.5241938814744594,0.8515989517517858,1.0,0.0,10.0,1.1673151750972763,0.6118994725382796,-0.9940843794767928,20,0.0038910505836575876,0.008
37,144.69565217391303,110.30434782608695,0.2750986592993964,0.9614160013499228,1.0,0.0,10.0,1.1673151750972763,-0.3211268396491009,-1.1222754879571084,20,0.0038910505836575876,0.008
38,151.8181818181818,112.54545454545455,0.9871599753442024,0.15973472721494777,1.0,0.0,10.0,1.1673151750972763,-1.1523268194679406,-0.18646077106803244,20,0.0038910505836575876,0.008
39,159.70212765957447,114.34042553191489,-0.7075199205315995,-0.7066934003165439,1.0,0.0,10.0,1.1673151750972763,0.8258987399201552,0.824933930330596,20,0.0038910505836575876,0.008
40,167.81632653061226,114.44897959183673,-0.9916838688570792,0.1286977243336318,1.0,0.0,10.0,1.1673151750972763,1.1576076290160457,-0.1502308066151344,20,0.0038910505836575876,0.008
41,90.51020408163265,119.0204081632653,-0.9386338616844783,-0.34491516884486767,1.0,0.0,10.0,1.1673151750972763,1.0956815506044495,0.40262471071385336,20,0.0038910505836575876,0.008
42,97.5,119.0,0.7085725781973553,-0.7056379393334465,1.0,0.0,10.0,1.1673151750972763,-0.8271275231875743,0.8237018747083034,20,0.0038910505836575876,0.008
43,104.57777777777778,118.77777777777777,0.11657887835984794,0.993181436153717,1.0,0.0,10.0,1.1673151750972763,-0.13608429380526998,-1.1593557620471406,20,0.0038910505836575876,0.008
44,110.5,120.5909090909091,0.16854768855389557,0.9856935003758212,1.0,0.0,10.0,1.1673151750972763,-0.1967482745765318,-1.150614980983449,20,0.0038910505836575876,0.008
45,116.95555555555555,120.71111111111111,-0.4345514280774548,-0.9006470209554044,1.0,0.0,10.0,1.1673151750972763,0.5072584763550056,1.0513389349673983,20,0.0038910505836575876,0.008
46,124.73333333333333,118.53333333333333,-0.9337207716106982,0.3580021238243182,1.0,0.0,10.0,1.1673151750972763,1.0899464260047063,-0.41790131185718077,20,0.0038910505836575876,0.008
47,131.1627906976744,118.4186046511628,-0.9898921035748227,0.1418225062541652,1.0,0.0,10.0,1.1673151750972763,1.1555160742118553,-0.16555156372081542,20,0.0038910505836575876,0.008
48,137.4090909090909,119.22727272727273,0.7062673368454438,0.7079452301592577,1.0,0.0,10.0,1.1673151750972763,-0.8244365799752263,-0.8263952103026355,20,0.0038910505836575876,0.008
